# #time	foo	bar	sqk	drp	wbl
0.000000000000000000e+00 2.991645506552696454e-01 3.688868410072349696e-02 3.781318107763810832e-01 3.104032698338307639e-01 5.440899859901041774e-02
5.000000000000000000e+00 5.585515554662570104e-01 3.458811420791785274e-02 3.618244149469315163e-01 2.899221451026707808e-01 2.158648550157159784e-01
1.000000000000000000e+01 5.776262826219527025e-01 3.433004920239662167e-02 3.607533254409965862e-01 2.115412371300737226e-01 3.175577463157067681e-01
1.500000000000000000e+01 4.371451605660955364e-01 3.945109495838642483e-02 3.689626856259982102e-01 1.554560642442379403e-01 4.102414099200179520e-01
2.000000000000000000e+01 2.770373671027050455e-01 4.830414516154018373e-02 3.797655532667483791e-01 1.136966092825689029e-01 5.484334597878051110e-01
2.500000000000000000e+01 1.520774398074808686e-01 5.944128319120936532e-02 3.905799414838624362e-01 8.003487462630172466e-02 7.450384597879085025e-01
3.000000000000000000e+01 7.436758730328690836e-02 5.782851574588736970e-02 4.001049528876872152e-01 5.644218204573939884e-02 9.225659639766438103e-01
3.500000000000000000e+01 3.504088431107626328e-02 2.130795836135820215e-02 4.072607233459002996e-01 4.674260506743729837e-02 8.164869279593810480e-01
4.000000000000000000e+01 1.995363031145061181e-02 3.304925577538736243e-03 4.111382164702172548e-01 5.667950489917933377e-02 3.865630977772005483e-01
4.500000000000000000e+01 2.216530898006767100e-02 8.104329180912522553e-04 4.104307573800729525e-01 9.893391894897492211e-02 1.066807300186564805e-01
5.000000000000000000e+01 5.903266823052052970e-02 2.035228236796345156e-03 4.024252697196344375e-01 1.842345101815446584e-01 2.542493286666501137e-02
5.500000000000000000e+01 2.074844643543699296e-01 2.684408770541881623e-02 3.853623464394711484e-01 2.854438815912740401e-01 2.382465454740581579e-02
6.000000000000000000e+01 4.865050426650747717e-01 3.641195834082808225e-02 3.659863031862790606e-01 3.120748930888521677e-01 1.630051726743929896e-01
6.500000000000000000e+01 5.985311048190889993e-01 3.365762562193735236e-02 3.595911319578758980e-01 2.367951906501243320e-01 2.876290390080484261e-01
7.000000000000000000e+01 4.927659580503321868e-01 3.722747008361602244e-02 3.656151735310524953e-01 1.725472272488086656e-01 3.749663052563153576e-01
7.500000000000000000e+01 3.298507592416625167e-01 4.485648003401067341e-02 3.759528488005927094e-01 1.271311546517915614e-01 4.938348957585715349e-01
8.000000000000000000e+01 1.899108118658600075e-01 5.566800088501722144e-02 3.869334400440195831e-01 9.069094588133674861e-02 6.721939279366796471e-01
8.500000000000000000e+01 9.608906959496167632e-02 6.226189692173716983e-02 3.970338359791815708e-01 6.321043922078273258e-02 8.761730023720337712e-01
9.000000000000000000e+01 4.526720636687686650e-02 3.477049377786536194e-02 4.051164146395124788e-01 4.825973625847428117e-02 9.034022639553982437e-01
9.500000000000000000e+01 2.308759514201237650e-02 6.451477332668659713e-03 4.102299195099997631e-01 5.041843827722421179e-02 5.405064537091867072e-01
1.000000000000000000e+02 1.925173402982259183e-02 1.120868333106803984e-03 4.113293950077375749e-01 7.964723420485375627e-02 1.726969721221946752e-01
1.050000000000000000e+02 3.907994258874928489e-02 1.044831535784780012e-03 4.062196371993597177e-01 1.504633952170820743e-01 4.118753706340388260e-02
1.100000000000000000e+02 1.370425243231605528e-01 1.264876253458076943e-02 3.921206178919813268e-01 2.525409924714719367e-01 1.550271066224990189e-02
1.150000000000000000e+02 3.901056190636266185e-01 3.821411082387225766e-02 3.719297019254784176e-01 3.195718653579267543e-01 1.024292706349717308e-01
1.200000000000000000e+02 5.924359090528182881e-01 3.374466478152727406e-02 3.599284899287547579e-01 2.648126908465198714e-01 2.534439691464721589e-01
1.250000000000000000e+02 5.425937342878173197e-01 3.546806102848340525e-02 3.627300216436992186e-01 1.918406583471175819e-01 3.437814968299489626e-01
1.300000000000000000e+02 3.858568479313962962e-01 4.181745423284793234e-02 3.722011778597864584e-01 1.415362945653669546e-01 4.467274012701102914e-01
1.350000000000000000e+02 2.334949173207465922e-01 5.169710026500828198e-02 3.831801710930460292e-01 1.024092623359072474e-01 6.038898585378317252e-01
1.400000000000000000e+02 1.230634218319368034e-01 6.194234336748826592e-02 3.937204084216293087e-01 7.147514469592863851e-02 8.104604835247646299e-01
1.450000000000000000e+02 5.883380575574872345e-02 4.874683887706120905e-02 4.026180456908094452e-01 5.176707265567730143e-02 9.351850423837917425e-01
1.500000000000000000e+02 2.829987641645948307e-02 1.245340371756718106e-02 4.088542002934252295e-01 4.730051143059527119e-02 6.975630209857955899e-01
1.550000000000000000e+02 1.874822884890756797e-02 1.885578050629816912e-03 4.115031680874174924e-01 6.551928011718147205e-02 2.701970797229006349e-01
1.600000000000000000e+02 2.772737332433539842e-02 7.759830297769009433e-04 4.088913485476585175e-01 1.209266127304499810e-01 6.814501651075705047e-02
1.650000000000000000e+02 8.793795374700194567e-02 4.679721436397139313e-03 3.980353107581141581e-01 2.165504029309387457e-01 1.776556826850702112e-02
1.700000000000000000e+02 2.883459625440152885e-01 3.629856917079097439e-02 3.789233853216039671e-01 3.082673914105924506e-01 4.977873585132106676e-02
1.750000000000000000e+02 5.521815597036268120e-01 3.475158760786628553e-02 3.621849634597509304e-01 2.926942320824671429e-01 2.108009443213683387e-01
1.800000000000000000e+02 5.806485464239650174e-01 3.423386193355179574e-02 3.605845260542456243e-01 2.140237297465672761e-01 3.145416256200187499e-01
1.850000000000000000e+02 4.430142297163739973e-01 3.920205872929145852e-02 3.686025626813215217e-01 1.571534091727042892e-01 4.063802983475981456e-01
1.900000000000000000e+02 2.822875630933425750e-01 4.792975535574744983e-02 3.793714684947482318e-01 1.150382031630814428e-01 5.424498075469422753e-01
1.950000000000000000e+02 1.557097552892947601e-01 5.908212888882353325e-02 3.902100017616948469e-01 8.108069368061765481e-02 7.374300067358826594e-01
2.000000000000000000e+02 7.638709618077373087e-02 5.855431388883726440e-02 3.998004471350900535e-01 5.706828844519559740e-02 9.190841797316341433e-01
