# #time	Foo	Bar	Sqk	Drp	Wbl
0.000000000000000000e+00 5.746914622719520027e-01 1.291418490930609508e-01 3.552568136610025906e-01 1.590721901388590487e+00 3.944356989995880802e-01
5.000000000000000000e+00 1.351768815616326114e+00 2.120645877161025927e-01 3.385968823797496641e-01 2.041324739172666547e+00 6.425056348270962170e-01
1.000000000000000000e+01 1.832979975750210766e+00 2.478523235917375056e-01 3.349815199811729260e-01 2.045239212803360740e+00 1.167232808870570349e+00
1.500000000000000000e+01 1.695545693910102791e+00 2.790732564650630909e-01 3.414989129928706069e-01 1.796296440721305565e+00 1.671530358692123519e+00
2.000000000000000000e+01 1.250782802963736007e+00 3.240414079014233284e-01 3.512998725860711491e-01 1.482007954730876431e+00 2.252626524203287239e+00
2.500000000000000000e+01 7.873028656524406754e-01 3.888809626580875811e-01 3.614367586468637539e-01 1.169272898383873605e+00 3.050339692627622057e+00
3.000000000000000000e+01 4.359226245497334062e-01 4.510794866374669421e-01 3.705808749285871562e-01 8.906166320864984387e-01 4.020750714074806886e+00
3.500000000000000000e+01 2.207874546403061911e-01 4.010729237394970448e-01 3.776981199459099048e-01 6.763326712072986746e-01 4.539586990949402434e+00
4.000000000000000000e+01 1.120845238745161870e-01 2.598903006907075097e-01 3.819224268236718345e-01 5.601151846788759991e-01 3.692976535997658072e+00
4.500000000000000000e+01 7.643928482312285777e-02 1.517006890705900335e-01 3.821680676396204679e-01 5.953858773021607487e-01 2.137945737468919472e+00
5.000000000000000000e+01 1.209377641320813351e-01 8.938582750505741359e-02 3.761639938149008433e-01 8.631869263184346330e-01 1.018363399947870063e+00
5.500000000000000000e+01 3.840423259210776763e-01 9.466144471572753016e-02 3.617686130724734328e-01 1.380834314183734923e+00 4.660517511799188162e-01
6.000000000000000000e+01 1.069963587138939021e+00 1.910536324065512104e-01 3.433522660756726519e-01 1.931332944528486584e+00 4.921243531833737195e-01
6.500000000000000000e+01 1.740489036206765761e+00 2.375908324474898525e-01 3.346610647812613415e-01 2.086582080900590608e+00 9.856751451688932075e-01
7.000000000000000000e+01 1.796438141797296328e+00 2.673136005657593683e-01 3.386276555137473498e-01 1.895542493906946957e+00 1.496678629077709211e+00
7.500000000000000000e+01 1.417269691414022148e+00 3.063961655962158526e-01 3.477875573224368244e-01 1.592364360426745007e+00 2.033189449189444886e+00
8.000000000000000000e+01 9.384728808262090549e-01 3.643927321583675383e-01 3.579925762154921309e-01 1.274901175510763318e+00 2.746014514680696017e+00
8.500000000000000000e+01 5.413761359721641631e-01 4.349606542745370619e-01 3.676039694941378166e-01 9.810938291733060090e-01 3.687634539045872462e+00
9.000000000000000000e+01 2.810410972658972106e-01 4.367059141778206199e-01 3.755270610571663781e-01 7.411013724123349800e-01 4.482598416929592489e+00
9.500000000000000000e+01 1.399791379299104022e-01 3.082517309047602128e-01 3.808437197229952442e-01 5.865286530647118024e-01 4.140878894162225876e+00
1.000000000000000000e+02 8.162122503765140147e-02 1.833254975777833806e-01 3.826416155779173711e-01 5.612474182652410493e-01 2.660413295668653699e+00
1.050000000000000000e+02 9.198073922959328075e-02 1.062793789364178676e-01 3.791350286075556575e-01 7.401110890734288184e-01 1.333136398554839008e+00
1.100000000000000000e+02 2.519489075693337465e-01 7.779992731720572485e-02 3.676337444190045378e-01 1.180521515720990733e+00 6.022112445332404862e-01
1.150000000000000000e+02 7.911627214572289901e-01 1.617435295944176232e-01 3.493935455084762887e-01 1.767000773565405414e+00 4.025661742086573680e-01
1.200000000000000000e+02 1.566213526754811847e+00 2.256860559326755722e-01 3.359234078431815318e-01 2.086516300022381198e+00 8.011541443423872977e-01
1.250000000000000000e+02 1.845572032218256497e+00 2.567840892590620983e-01 3.363256209355307558e-01 1.982936769267689359e+00 1.324194097448557317e+00
1.300000000000000000e+02 1.573602667803479349e+00 2.910739842417696122e-01 3.443800127458390148e-01 1.701437898656573910e+00 1.835509121891067741e+00
1.350000000000000000e+02 1.100441172857515193e+00 3.419994791474235685e-01 3.544756579403749996e-01 1.383349093845131383e+00 2.472303405078741356e+00
1.400000000000000000e+02 6.637783995889998678e-01 4.115654716479343889e-01 3.644247001209273140e-01 1.077971302159002054e+00 3.345416271281485443e+00
1.450000000000000000e+02 3.556166491826477372e-01 4.532398992022728113e-01 3.730443252969211643e-01 8.159637395467214116e-01 4.280988712421951448e+00
1.500000000000000000e+02 1.775769684090151013e-01 3.588412605362883978e-01 3.793533160054879949e-01 6.280103941442413129e-01 4.435424646938333382e+00
1.550000000000000000e+02 9.426516838063143944e-02 2.209449327699694321e-01 3.824984583112500114e-01 5.513811205891867573e-01 3.214530257325856066e+00
1.600000000000000000e+02 7.889946232826816619e-02 1.280018983538943333e-01 3.811209230830748806e-01 6.498300187914067827e-01 1.723394049058189159e+00
